model_name,explore_name
disney_plus,ab_content_metadata_similarities
disney_plus,jsf_content_by_partner
disney_plus,jsf_activation_status
disney_plus,jsf_rfe_with_detail
disney_plus,churn_propensity_drivers
disney_plus,fact_disney_qos_engagement
disney_plus,jsf_post_communication_streams
disney_plus,monthly_qoe_scores
disney_plus,fact_disney_subscriber_metric_store_backfill_v
disney_plus,volchurn_drivers_eda
disney_plus,starplus_volchurn_drivers_eda
disney_plus,dim_partnership_metadata_sku_and_voucher_v
disney_plus,sports_metadata
disney_plus,concurrent_streams_title_espn
disney_plus,concurrent_streams_predictions_espn
disney_plus,concurrent_streams_prediction_errors_espn
disney_plus,concurrent_streams_predictions_star
disney_plus,concurrent_streams_prediction_errors_star
disney_plus,concurrent_streams_predictions_espn_dev
disney_plus,concurrent_streams_prediction_errors_espn_dev
disney_plus,concurrent_streams_predictions_star_dev
disney_plus,concurrent_streams_prediction_errors_star_dev
disney_plus,fact_disney_content_agg_devices
disney_plus,jsf_combo_engagement
disney_plus,fact_disney_canal_split_users_agg
disney_plus,content_encoding_vpfs
disney_plus,fact_devices_metric_store_union_v
disney_plus,glimpsev2_conversion_funnel
disney_plus,d_plus_weekly_update_engagement_metrics
disney_plus,days_since_last_stream_distro
disney_plus,studio_engagement_overview
disney_plus,taste_weekly_daily_streamers_HPS
disney_plus,peps_title_heatmap
disney_plus,peps_tile_heatmap
disney_plus,glimpsev2_conversion_funnel_prod
disney_plus,all_signups_next_stream
disney_plus,dim_disney_country_region_mapping_filter
disney_plus,user_nav_audience_segment_value_filter
disney_plus,glimpsev2_user_journey_major_nav_v_filter
disney_plus,jsf_churn_drivers_latam
disney_plus,offline_downloads
disney_plus,peps_title_exposure_metrics
disney_plus,peps_content_language_availability
disney_plus,peps_content_language_availability_overview
disney_plus,peps_default_language_settings
disney_plus,peps_default_language_settings_l28
disney_plus,churn_propensity_model_operational_v2
disney_plus,churn_propensity_model_metrics_v2
disney_plus,reconnect_propensity_model_metrics
disney_plus,reconnect_propensity_model_operational
disney_plus,bundle_upgrade_propensity_model_operational
disney_plus,glimpsev2_conversion_funnel_lp_cd_temp
disney_plus,glimpsev2_conversion_funnel_lp_web_prod
disney_plus,glimpsev2_conversion_funnel_unauth_details_temp
disney_plus,qos_alerts
disney_plus,collections_ctr_ectr
disney_plus,collections_percent_sessions
disney_plus,collections_set_performance
disney_plus,collections_title_plays
disney_plus,shop_disney_interactions
disney_plus,shop_disney_profiles
disney_plus,cl_major_navigation
disney_plus,cl_major_navigation_content
disney_plus,cl_cmp_agg
disney_plus,star_sports_affinity_segments
disney_plus,fact_app_deeplink_events_v
disney_plus,thomas_health_status_dashboard
disney_plus,playback_activity
disney_plus,ads_engagement
disney_plus,tiara_engagement
disney_plus,hulk_r2_engagement_hypercare
disney_plus,hulk_r2_hypercare_cumulative_engagement
disney_plus,player_framework_qos
disney_plus,peps_title_language_engagement
disney_plus,peps_title_language_engagement_pss
disney_plus,watchlist_engagement
disney_plus,kss_conviva_spi
disney_plus,user_nav_paths
disney_plus,user_nav_paths_agg
disney_plus,dplus_app_adoption
disney_plus,profile_explore
disney_plus,profile_explore_forecast
disney_plus,profile_explore_content_hrs
disney_plus,ips_upsell
disney_plus,device_enablement_v2
dev_espn_plus,renewals_future
espn_plus,dim_espn_subscriptions_v
espn_plus,anonymous_tracking
espn_plus,fact_disney_espnplus_hulu_ppv_hourly
espn_plus,v_jabba_eplus_hulu_ppv_combined_prod
espn_plus,ppv_purchases
espn_plus,fact_ppv_subscriber_model
espn_plus,fact_espn_primary_subscription_pacing_update
espn_plus,ppv_media_watches_v
espn_plus,ppv_prelim_funnel
espn_plus,ssr_clusters
espn_plus,fact_espn_content_metadata
espn_plus,espn_conviva_v4_subscription_excl_ppv_desv
espn_plus,dim_espn_ppv_subscriptions_v
espn_plus,paid_stop_monthly_forecast_hist
espn_plus,paid_stop_monthly_forecast_v1
espn_plus,paid_stop_monthly_forecast_sports_events
espn_plus,paid_stop_monthly_forecast_text
espn_plus,anomaly_detection_daily_new
espn_plus,editorial_hits
espn_plus,editorial_conversions
espn_plus,dim_espn_rfe_segments
espn_plus,engagement_by_deal
espn_plus,sales_force_email_campaigns
espn_plus,eplus_sameday_firststreams
espn_plus,conviva_pipeline_quality_check
espn_plus,eplus_analytics_meta_title_base
espn_plus,eplus_subscriber_based_viewership
espn_plus,eplus_viewership_for_jayd_202405
espn_plus,eplus_on_hulu_live_pass
espn_plus,ufc_cohort_breakout
espn_plus,eplus_partnership_viewership
espn_plus,nhl_content_engagement_data
espn_plus,fact_espn_hulu_daily_consumption
espn_plus,jsf_espn_sports_tam
espn_plus,jsf_espn_sports_tam2
espn_plus,jsf_lifecycle_engagement
espn_plus,jsf_mma_fighters_by_event
espn_plus,pgatour_feed_group
espn_plus,m1d1_standalone_nonactives
espn_plus,off_device_bbd
espn_plus,ctv_prepurchase
espn_plus,mobile_prepurchase
espn_plus,m2plus_rfe
espn_plus,tve_session_level
espn_plus,signup_anomaly_detection
espn_plus,ppv_purchase_metrics
espn_plus,espn_offer_metrics
espn_plus,ppv_repeats_metrics
espn_plus,ppv_repeats_entitled
espn_plus,digital_kpis_base
espn_plus,espn_digital_kpis_aggregated_adjusted
airflow_dag_dependencies,airflow_dag_runtime
airflow_dag_dependencies,data_quality_log
snowflake_usage_block,load_history
snowflake_usage_block,login_history
snowflake_usage_block,query_history
snowflake_usage_block,storage_usage
snowflake_usage_block,warehouse_metering_history
unified_subscribers,dim_disney_country_region_mapping_filters
unified_subscribers,dim_disney_onboarding_funnel_visits_filters
acquisition_analytics,disney_mmm_decomp
acquisition_analytics,disney_mmm_keypoints
acquisition_analytics,glimpsev2_last_click
acquisition_analytics,gmp_pascal
acquisition_analytics,pascal_dma
acquisition_analytics,pascal_transition_states
acquisition_analytics,pascal_subscriber_dma
