id,model_name,name,trigger_value,trigger_error,stale_before,trigger_check_at,triggered_at,created_at
112,subscriber_analytics,unified_subscriber_plan_switch_datagroup,2024-07-24,,1721913268,1721938258,,1699039952
113,disney_plus,international_engagement_overview_datagroup,2024-02-29,,1709311843,1709330443,,1700070832
114,cost_data_mart_databricks,cost_data_mart_databricks_default_datagroup,,,,,,1704096095
115,product_tech,conviva_datagroup,2024-07-25,,1721927443,1721938073,,1706213004
116,product_tech,subscriber_metric_store_datagroup,2024-07-24,,1721909770,1721937652,,1708117426
117,cost_data_mart_databricks_unity,cost_attribution_default_datagroup,,,,,,1708553684
118,engagement_analytics,international_engagement_overview_datagroup,2024-03-02,,1709483505,1709569867,,1709330678
119,engagement_analytics,ads_engagement_overview_datagroup,2024-07-24,,1721925152,1721937652,,1709571697
120,ballast_waf_dev,ballast_waf_dev01_default_datagroup,,,,,,1710956145
121,commerce_analytics,datos_datagroup,39859,,1721908994,1721937653,,1711470807
122,tech_databricks_unity,concurrent_streams_title_datagroup,2024-07-24 23:59:00 +0000,,1721917840,1721938558,,1711546889
123,subscriber_analytics,unified_subs_ms_datagroup_sunday_send_NPA,2024-07-20,,1721651624,1721938257,,1714511577
124,subscriber_analytics,unified_subs_ms_datagroup_monday_send_NPA,2024-07-21,,1721736671,1721938257,,1714511577
125,subscriber_analytics,unified_subs_ms_datagroup_fiscal_month_NPA,2024-06-30,,1719921975,1721938258,,1714511578
126,tech_databricks_unity,cdn_imag_logs_datagroup,2024-07-23,,1721928213,1721938559,,1719600239
127,acquisition,media360_datagroup,105450358,,1721928831,1721928824,,1719864259
128,subscriber_analytics,hulu_service_subscriber_plan_switch_datagroup,2024-07-24,,1721907187,1721938258,,1719951135
129,dss_accounting,dg_payments_default,1721936123,,1721936123,1721938558,,1721329994
